Ticker,QMV($),HQ Location,Sector
CWI,15699860.72,ON,Financial Services
CRN,90326190.11,AB,Financial Services
CRT.UN,1365685585,ON,Real Estate
CIU.PR.A,138380000,AB,Utilities & Pipelines
CYB,567284052.8,ON,Financial Services
DBO,92767970.18,QC,Technology
DNA,332104818.1,ON,Mining
DCM,40937135.68,ON,Diversified Industries
DW,12275248.96,ON,Technology
HYB.UN,28579044.2,ON,Closed-End Funds
DEE,273783906.5,AB,Oil & Gas
DML,304048826,ON,Mining
DSG,2261671344,ON,Technology
DGC,2988718590,ON,Mining
DH,2465594019,ON,Technology
DHX.B,922669186.2,NS,Comm & Media
DCF,56933734.24,ON,Financial Services
DIN.DB,19759850,ON,Real Estate
DCI,333326643.8,AB,Financial Services
DRT,498881892.7,AB,Clean Technology
DA.A,23849095.36,ON,Diversified Industries
DIV,280166739,BC,Diversified Industries
DFN,660390954.3,ON,Closed-End Funds
DF,246392207.9,ON,Closed-End Funds
DGS,415252022.4,ON,Closed-End Funds
DS,78288667.44,ON,Closed-End Funds
DOL,11725937350,QC,Diversified Industries
DDC,1073896031,ON,Mining
UFS,3426208192,QC,Forest Products & Paper
DII.B,1313770192.4,QC,Diversified Industries
DSL.UN,34383847.55,ON,Closed-End Funds
DWI,23785990.8,ON,Technology
DRG.UN,1149380633,ON,Real Estate
DRA.UN,408484717,ON,Real Estate
DIR.UN,546360934.9,ON,Real Estate
D.UN,1964925179,ON,Real Estate
DRM,523175214.73,ON,Real Estate
DAQ.A,111963100,ON,
DC.A,499977702.39,ON,Financial Services
DEN,3765379.88,ON,Oil & Gas
DPM,329205629.6,ON,Mining
DXI,3136580.02,BC,Oil & Gas
DNG,83616416.87,QC,Mining
DMM,15805589.76,BC,Mining
ELF,3125302754,ON,Financial Services
EGL,29716136.1,AB,Oil & Gas
ECF.UN,46382306.58,ON,Closed-End Funds
ELR,42150759.56,BC,Mining
ER,85948358.86,ON,Mining
EFH,138155957.8,ON,Financial Services
ERM,23334776.3,ON,Closed-End Funds
ECN,1168002540,ON,Financial Services
EOM,43537258.35,BC,Mining
ECS,67180935.15,BC,Mining
EVT,591035058.8,ON,Closed-End Funds
ECO,121924627.2,ON,Clean Technology
ELD,2651372396,BC,Mining
EFL,192934812.4,ON,Clean Technology
EFN,5839287758,ON,Diversified Industries
EMA,9596282082.04,NS,Utilities & Pipelines
EMP.A,3165331314,NS,Diversified Industries
ENB,58413570661,AB,Utilities & Pipelines
ENF,4231324742,AB,Utilities & Pipelines
ECA,16413849674,AB,Oil & Gas
EDR,650650951.7,BC,Mining
ECI,1892001034.5,ON,Diversified Industries
EFX,1504337016,AB,Diversified Industries
EGZ,29964721.35,ON,Mining
PCF.UN,23874797.08,ON,Closed-End Funds
ENI.UN,11000668.04,AB,Closed-End Funds
HEN.UN,5378804.95,ON,Closed-End Funds
HPF,21803912.78,ON,ETP
ERF,2794411635,AB,Oil & Gas
ENGH,1422571081,ON,Technology
ESI,1406622613,AB,Diversified Industries
E,14469617.24,AB,Diversified Industries
ENT,44827626.33,AB,Diversified Industries
ETG,66574752.48,BC,Mining
EQB,1017243183.3,ON,Financial Services
EQI,93717248.56,ON,Financial Services
ERD,56841785.54,NS,Mining
ESP,74586163.44,ON,Technology
EPI,93110044.8,BC,Life Sciences
ESN,78021247.15,AB,Diversified Industries
ESM,36000851.76,ON,Mining
EBC.UN,39008291.5,ON,Closed-End Funds
EBF.UN,14245193.4,ON,Closed-End Funds
ET,1225504792,ON,Technology
XCT,33920644.42,ON,Technology
EGI.UN,66886501.44,ON,Closed-End Funds
EXN,104740861.4,ON,Mining
EIF,1474008854.6,MB,Financial Services
XTC,456330825.3,ON,Diversified Industries
XRC,90433458.06,BC,Mining
EXF,131552439.9,QC,Technology
EXE,1000526319.7,ON,Real Estate
FGX,18996048,ON,Closed-End Funds
FCS.UN,19217215.92,ON,Closed-End Funds
FFH,15791586221.62,ON,Financial Services
FIH.U,910178293.7,ON,Financial Services
FSZ,775900070.4,ON,Financial Services
FTN,362928922.6,ON,Closed-End Funds
FTT,4549715105,BC,Diversified Industries
FTG,75660883.4,ON,Technology
FC,457970606.5,ON,Financial Services
BXF,83376500,ON,ETP
FDV,24678500,ON,ETP
FAO,19907782.22,ON,ETP
FAI,18677005.82,ON,ETP
FCE,5025000,ON,ETP
FCY,5465000,ON,ETP
OXF,6641215.32,ON,ETP
MXF,7164604.68,ON,ETP
FBE,5282500,ON,ETP
CXF,9795885.4,ON,ETP
ADC.UN,15519621.52,ON,Closed-End Funds
FDL,935000,ON,ETP
RIT,186252913.1,ON,ETP
CIC,146784752.5,ON,ETP
CBB,968250,ON,ETP
CED,18555500,ON,ETP
CSY,31341288.04,ON,ETP
CES,33321676.63,ON,ETP
DCD.UN,50028536.25,ON,Closed-End Funds
TRF.UN,7545155.81,ON,Closed-End Funds
NXF,31413865.88,ON,ETP
FHB,31928862.09,ON,ETP
FSF,14387185.76,ON,ETP
FGM,1112500,ON,ETP
FGL,1045500,ON,ETP
FGV,1192500,ON,ETP
FGU,1166000,ON,ETP
FIG,96785339.52,ON,ETP
FLB,37908000,ON,ETP
DXM,35928254.13,ON,ETP
WXM,151939838.26,ON,ETP
FXM,144738677.7,ON,ETP
ZXM,35483750,ON,ETP
VXM,95904946.06,ON,ETP
QXM,58010500,ON,ETP
UCD.UN,11714507.52,ON,Closed-End Funds
UXM,97674566.05,ON,ETP
YXM,76261024.21,ON,ETP
XXM,167486377.82,ON,ETP
RWC,15873004,ON,ETP
FQC,14298046.9,ON,ETP
RWE,50125032,ON,ETP
RWU,110207600,ON,ETP
RWW,255050250,ON,ETP
NCD.UN,20803511.5,ON,Closed-End Funds
FPR,57179974.74,ON,ETP
PXF,5011000,ON,ETP
FGB,60791000,ON,ETP
TXF,105299924.45,ON,ETP
FLI,122286000,ON,ETP
FBU,4378000,ON,ETP
FUM,1052000,ON,ETP
FUT,3085500,ON,ETP
FCR,5165734097.7,ON,Real Estate
FR,1957265163,BC,Mining
FN,1647675349.48,ON,Financial Services
FNM.UN,27160597.55,ON,Closed-End Funds
FM,10580576901,BC,Mining
FDY,4656000,ON,ETP
FDE,8621481.7,ON,ETP
EUR,27448380.34,ON,ETP
FHD,2332000,ON,ETP
FHC,3618000,ON,ETP
FUD,8453224.23,ON,ETP
FHE,2130000,ON,ETP
FHF,2506000,ON,ETP
FHH,4270000,ON,ETP
FHG,2398000,ON,ETP
FHM,2431000,ON,ETP
FHQ,8991500,ON,ETP
FHU,1187500,ON,ETP
FST,42663959.7,ON,ETP
FSR,1007500,ON,ETP
ETP,53257854.14,ON,ETP
FSL,136218800,ON,ETP
FHY,23516310.4,ON,ETP
FTB,50622000,ON,ETP
FSV,2021911281,ON,Real Estate
FCU,271053810.2,BC,Mining
FFI.UN,97958918.05,ON,Closed-End Funds
FSY,10213799.47,ON,Mining
FTS,17243835007,NL,Utilities & Pipelines
FTP,186198811.62,BC,Forest Products & Paper
FT,27089900.7,ON,Mining
